Mass,Radius,Lambda,K2,C,Id
0.0003129569155400159,49.999,-7562196093711779.0,-7.644304828912103e-10,9.241016817739062e-06,1874
0.00032898965230721564,49.999,-1.397407670227846e+17,-1.8134334093351206e-08,9.714432750550212e-06,1874
0.00034767677188914293,49.999,9086481313010328.0,1.5543235217387707e-09,1.0266227511288166e-05,1874
0.0003680325717052521,49.999,6860002257394338.0,1.5596345194796184e-09,1.086729519536413e-05,1874
0.00038825197240054674,49.999,-6723527484889092.0,-1.9972518695137553e-09,1.1464335275297855e-05,1874
0.000407433107664538,49.999,-9181050628686038.0,-3.4708932995360894e-09,1.2030717370584087e-05,1874
0.00042606721231525075,49.999,-3.284017471332888e+16,-1.5526134017985212e-08,1.258094670219548e-05,1874
0.0004457571178331099,49.999,-3.1995178498831744e+17,-1.8960215498644177e-07,1.31623518062056e-05,1874
0.0004671845376501473,49.999,1.3295163921613636e+16,9.963302063425612e-09,1.3795062371327078e-05,1874
0.0004904173234518958,49.999,7654007984121818.0,7.311142065561095e-09,1.4481081927553936e-05,1874
0.0005155099561905301,49.999,1.507841443278596e+17,1.8484523548057223e-07,1.5222019192796825e-05,1874
0.0005425081961461901,49.999,1.0185714637833436e+16,1.611722698431965e-08,1.601922538026549e-05,1874
0.0005714428224594548,49.999,-8.25680821960423e+16,-1.6941170234606398e-07,1.687360933888322e-05,1874
0.0006023190898250864,49.999,-3.275286087023152e+16,-8.742782573363899e-08,1.7785326229696987e-05,1874
0.0006350998054222006,49.999,-9075332439561222.0,-3.157473682029284e-08,1.875327782011877e-05,1874
0.0006696780620952892,49.999,-3.64445462215996e+16,-1.652837684618388e-07,1.977430734711528e-05,1874
0.0007058533368304898,49.999,-1.5152048318309956e+16,-8.939454236338769e-08,2.084249375110473e-05,1874
0.0007435372355183068,49.999,-9205271780442852.0,-7.043970451616971e-08,2.1955226923756305e-05,1874
0.0007827751194401922,49.999,2.474747482772487e+16,2.448968815877282e-07,2.311384629661459e-05,1874
0.000823627217883056,49.999,-2.75465485413795e+16,-3.515506780100977e-07,2.4320130324877786e-05,1874
0.0008661721210187789,49.999,2.398802478213313e+16,3.938064212016116e-07,2.557639962542316e-05,1874
0.0009105169752682624,49.999,-1.2838231931646976e+16,-2.7052832930945385e-07,2.6885818026331664e-05,1874
0.0009568115137593662,49.999,2.2069110072593416e+16,5.959146780644098e-07,2.8252806859371393e-05,1874
0.001005268280450134,49.999,1.2841625705281544e+16,4.4391232414171605e-07,2.9683642139524788e-05,1874
0.0010561906727920038,49.999,1.5815439475778412e+16,6.999390155100261e-07,3.1187282610989486e-05,1874
0.0011099765395868684,49.999,-7083961595248793.0,-4.0189489952453367e-07,3.277547598498912e-05,1874
0.0011668291706651889,49.999,-8330882727711604.0,-6.067289376139716e-07,3.445422501988718e-05,1874
0.0012268004646268807,49.999,-1.1984248165853546e+16,-1.121366947046867e-06,3.6225062181690386e-05,1874
0.0012899653312496266,49.999,-2.091737688330016e+16,-2.5157339584362042e-06,3.809019941230194e-05,1874
0.001356428577311587,49.999,1.3632263872512428e+16,2.107754071340922e-06,4.005273145464492e-05,1874
0.001426314642504621,49.999,-1.3283299733540542e+16,-2.640279928073003e-06,4.21163327738874e-05,1874
0.0014997381427088981,49.999,1.403721532168999e+16,3.5861251768500663e-06,4.428438775690067e-05,1874
0.001576744706529682,49.999,-2.0123407148151725e+17,-6.60352339270867e-05,4.655824372878818e-05,1874
0.0016572110897355426,49.999,2.313276912759417e+16,9.73607870383118e-06,4.893426152403295e-05,1874
0.00174086855931927,49.999,1.7927732082908256e+16,9.652116626153405e-06,5.1404505972917384e-05,1874
0.0018283930505995757,49.999,1.9168409383486052e+16,1.3188675538177832e-05,5.3988936147562124e-05,1874
0.001920933792303154,49.999,1.4390738403359726e+16,1.2673960800827701e-05,5.67214865656706e-05,1874
0.0020200586093731755,49.999,-1.133508322298392e+16,-1.283842835707477e-05,5.964845208748619e-05,1874
0.0021272389991085433,49.999,6406178812561600.0,9.39610339266902e-06,6.281328320287249e-05,1874
0.0022416965897856956,49.999,1.1337206853185816e+16,2.161013721999599e-05,6.619299608935834e-05,1874
0.0023606398219113986,49.999,1.0223236933659274e+16,2.5235061612772513e-05,6.970516135508904e-05,1874
0.0024829774494897435,49.999,1.6592336612169806e+16,5.272768746706127e-05,7.331755660107053e-05,1874
0.0026087041737161043,49.999,-7664333872370378.0,-3.1179265381525146e-05,7.703002536377625e-05,1874
0.0027393472256679006,49.999,-6577356901044950.0,-3.416285281877442e-05,8.088766384453684e-05,1874
0.002877546574769156,49.999,7534725714327986.0,5.005489491385233e-05,8.496842527152629e-05,1874
0.003024057068925774,49.999,2.1138425553691864e+16,0.00018000718849754446,8.92945988540476e-05,1874
